City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Guerrero Negro,MX,27.9769,-114.0611,63.93,50,0,16.37,clear sky
80,Morshansk,RU,53.4435,41.8107,33.55,99,100,4.63,overcast clouds
81,Inirida,CO,3.8653,-67.9239,75.51,95,100,2.48,moderate rain
82,San Jeronimo,PE,-11.9472,-75.2829,60.51,59,86,4.23,overcast clouds
83,Baixa Grande,BR,-11.9597,-40.1681,80.69,38,34,5.28,scattered clouds
84,Porkhov,RU,57.765,29.5561,28.4,100,10,2.73,mist
85,Bredasdorp,ZA,-34.5322,20.0403,62.6,72,0,4.61,clear sky
86,Inhambane,MZ,-23.865,35.3833,75.02,84,8,9.1,clear sky
87,Avarua,CK,-21.2078,-159.775,82.4,74,40,16.11,scattered clouds
88,Amuntai,ID,-2.4177,115.2494,73.74,99,100,1.16,overcast clouds
89,Poronaysk,RU,49.2167,143.1167,11.73,92,76,4.83,broken clouds
90,Fallon,US,39.4735,-118.7774,48.2,37,40,4.61,scattered clouds
91,Leningradskiy,RU,69.3833,178.4167,-24.09,97,67,3.31,broken clouds
92,Hasaki,JP,35.7333,140.8333,39.2,87,20,2.3,few clouds
93,Sibut,CF,5.718,19.0739,69.93,86,98,3.44,overcast clouds
94,Hervey Bay,AU,-25.2986,152.8535,68.0,88,1,1.01,clear sky
95,Hofn,IS,64.2539,-15.2082,21.67,61,99,25.59,overcast clouds
96,Norman Wells,CA,65.282,-126.8329,26.6,54,20,3.44,few clouds
97,Bluff,NZ,-46.6,168.3333,57.0,83,100,1.99,moderate rain
98,Faanui,PF,-16.4833,-151.75,83.28,73,4,22.12,light rain
99,Teseney,ER,15.11,36.6575,78.21,50,34,12.91,scattered clouds
100,Alangilanan,PH,9.642,123.1059,77.5,84,83,5.77,broken clouds
101,Tuatapere,NZ,-46.1333,167.6833,57.0,83,100,1.99,moderate rain
102,Moussoro,TD,13.6408,16.4901,80.02,13,52,17.74,broken clouds
103,Tasiilaq,GL,65.6145,-37.6368,5.0,56,89,10.36,overcast clouds
104,Victoria,HK,22.2855,114.1577,73.0,87,99,8.81,overcast clouds
105,Fairbanks,US,64.8378,-147.7164,25.0,93,90,4.61,overcast clouds
106,Saint-Philippe,RE,-21.3585,55.7679,78.8,83,0,5.75,clear sky
107,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,82.33,82,30,2.48,scattered clouds
